Container ID,Name,CPU %,Memory Usage,Memory %,Net I/O,Block I/O,PIDs
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,143.15,753.7MiB / 31.09GiB,2.37,120MB / 121MB,280MB / 1.15GB,54
1ec32aa56724,r_agent,0.99,140MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.0,23.47MiB / 31.09GiB,0.07,588kB / 812kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.33,21.77MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.29,21.14MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.28,21.36MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.69MiB / 31.09GiB,0.07,215kB / 366kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,2.28,22.8MiB / 31.09GiB,0.07,391MB / 385MB,0B / 0B,15
1d733de5658f,cn-agent,0.01,42.4MiB / 31.09GiB,0.13,23.2MB / 11.2MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.35,22.1MiB / 31.09GiB,0.07,614kB / 321kB,0B / 0B,7
88df3cf2f98e,mysql,0.27,406MiB / 31.09GiB,1.28,8.15MB / 20.8MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.61MiB / 31.09GiB,0.05,15.5kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,1.22,46.19MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,3
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,165.51,753.7MiB / 31.09GiB,2.37,120MB / 121MB,280MB / 1.16GB,54
1ec32aa56724,r_agent,1.43,140MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.03,23.51MiB / 31.09GiB,0.07,589kB / 814kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.26,21.79MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.24,21.14MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.29,21.37MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.69MiB / 31.09GiB,0.07,216kB / 367kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.0,22.81MiB / 31.09GiB,0.07,401MB / 395MB,0B / 0B,15
1d733de5658f,cn-agent,0.87,42.52MiB / 31.09GiB,0.13,23.2MB / 11.2MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.27,22.11MiB / 31.09GiB,0.07,616kB / 322kB,0B / 0B,7
88df3cf2f98e,mysql,0.74,406MiB / 31.09GiB,1.28,8.16MB / 20.8MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.61MiB / 31.09GiB,0.05,15.5kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,2.44,46.32MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,1
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,142.78,753.7MiB / 31.09GiB,2.37,121MB / 122MB,280MB / 1.16GB,54
1ec32aa56724,r_agent,0.17,140MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.0,23.48MiB / 31.09GiB,0.07,590kB / 815kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.25,21.8MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.35,21.19MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.3,21.39MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.73MiB / 31.09GiB,0.07,216kB / 368kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,2.42,22.85MiB / 31.09GiB,0.07,412MB / 406MB,0B / 0B,15
1d733de5658f,cn-agent,0.01,42.41MiB / 31.09GiB,0.13,23.3MB / 11.2MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.3,22.12MiB / 31.09GiB,0.07,617kB / 323kB,0B / 0B,7
88df3cf2f98e,mysql,0.23,406MiB / 31.09GiB,1.28,8.17MB / 20.8MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.64MiB / 31.09GiB,0.05,15.5kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,1.39,46.62MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,3
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,159.98,753.7MiB / 31.09GiB,2.37,121MB / 122MB,280MB / 1.16GB,54
1ec32aa56724,r_agent,1.99,140MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.03,23.48MiB / 31.09GiB,0.07,591kB / 817kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.31,21.8MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.33,21.19MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.28,21.39MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.73MiB / 31.09GiB,0.07,216kB / 368kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,2.39,22.85MiB / 31.09GiB,0.07,427MB / 420MB,0B / 0B,15
1d733de5658f,cn-agent,1.01,42.41MiB / 31.09GiB,0.13,23.3MB / 11.2MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.39,22.12MiB / 31.09GiB,0.07,617kB / 323kB,0B / 0B,7
88df3cf2f98e,mysql,0.71,406MiB / 31.09GiB,1.28,8.19MB / 20.9MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.64MiB / 31.09GiB,0.05,15.5kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,2.87,46.05MiB / 31.09GiB,0.14,0B / 0B,37.3MB / 0B,1
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,143.34,753.8MiB / 31.09GiB,2.37,121MB / 122MB,280MB / 1.16GB,54
1ec32aa56724,r_agent,0.54,140MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.0,23.38MiB / 31.09GiB,0.07,592kB / 818kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.29,21.72MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.34,21.04MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.31,21.41MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.75MiB / 31.09GiB,0.07,216kB / 369kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,2.41,22.89MiB / 31.09GiB,0.07,443MB / 435MB,0B / 0B,15
1d733de5658f,cn-agent,0.01,42.42MiB / 31.09GiB,0.13,23.4MB / 11.2MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.34,22.15MiB / 31.09GiB,0.07,618kB / 323kB,0B / 0B,7
88df3cf2f98e,mysql,0.25,406MiB / 31.09GiB,1.28,8.2MB / 20.9MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.64MiB / 31.09GiB,0.05,15.5kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,1.23,46.54MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,3
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,176.57,753.8MiB / 31.09GiB,2.37,121MB / 122MB,280MB / 1.16GB,54
1ec32aa56724,r_agent,0.71,140.1MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.03,23.29MiB / 31.09GiB,0.07,593kB / 820kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.31,21.74MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.24,21.06MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.32,21.44MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.56MiB / 31.09GiB,0.07,217kB / 370kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,2.25,22.87MiB / 31.09GiB,0.07,458MB / 449MB,0B / 0B,15
1d733de5658f,cn-agent,0.76,42.29MiB / 31.09GiB,0.13,23.4MB / 11.3MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.28,22.15MiB / 31.09GiB,0.07,620kB / 324kB,0B / 0B,7
88df3cf2f98e,mysql,0.68,406MiB / 31.09GiB,1.28,8.22MB / 20.9MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.66MiB / 31.09GiB,0.05,15.5kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,2.5,45.99MiB / 31.09GiB,0.14,0B / 0B,37.3MB / 0B,1
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,160.11,753.8MiB / 31.09GiB,2.37,121MB / 122MB,280MB / 1.17GB,54
1ec32aa56724,r_agent,0.87,140.1MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.0,23.1MiB / 31.09GiB,0.07,594kB / 821kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.27,21.79MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.3,21.08MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.31,21.44MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.56MiB / 31.09GiB,0.07,217kB / 370kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,2.27,22.7MiB / 31.09GiB,0.07,473MB / 464MB,0B / 0B,15
1d733de5658f,cn-agent,0.01,42.3MiB / 31.09GiB,0.13,23.4MB / 11.3MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.37,22.04MiB / 31.09GiB,0.07,621kB / 325kB,0B / 0B,7
88df3cf2f98e,mysql,0.22,406.2MiB / 31.09GiB,1.28,8.23MB / 21MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.66MiB / 31.09GiB,0.05,15.5kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,1.33,46.16MiB / 31.09GiB,0.14,0B / 0B,37.3MB / 0B,4
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,146.22,753.8MiB / 31.09GiB,2.37,122MB / 123MB,280MB / 1.17GB,54
1ec32aa56724,r_agent,1.27,140MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.02,23.1MiB / 31.09GiB,0.07,595kB / 823kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.24,21.79MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.19,21.08MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.22,21.44MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.56MiB / 31.09GiB,0.07,217kB / 371kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.0,22.7MiB / 31.09GiB,0.07,475MB / 466MB,0B / 0B,15
1d733de5658f,cn-agent,0.79,42.3MiB / 31.09GiB,0.13,23.5MB / 11.3MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.25,22.04MiB / 31.09GiB,0.07,621kB / 325kB,0B / 0B,7
88df3cf2f98e,mysql,0.41,406MiB / 31.09GiB,1.28,8.25MB / 21MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.66MiB / 31.09GiB,0.05,15.5kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,2.71,46.05MiB / 31.09GiB,0.14,0B / 0B,37.3MB / 0B,1
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,141.04,753.8MiB / 31.09GiB,2.37,122MB / 123MB,280MB / 1.17GB,54
1ec32aa56724,r_agent,0.78,140.1MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.0,23.11MiB / 31.09GiB,0.07,596kB / 824kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.22,21.79MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.34,21.02MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.29,21.47MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.01,23.59MiB / 31.09GiB,0.07,218kB / 371kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.0,22.71MiB / 31.09GiB,0.07,475MB / 466MB,0B / 0B,15
1d733de5658f,cn-agent,0.01,42.18MiB / 31.09GiB,0.13,23.5MB / 11.3MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.3,22.04MiB / 31.09GiB,0.07,623kB / 326kB,0B / 0B,7
88df3cf2f98e,mysql,0.2,406MiB / 31.09GiB,1.28,8.26MB / 21MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.66MiB / 31.09GiB,0.05,15.5kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,1.21,46.25MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,3
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,133.5,753.7MiB / 31.09GiB,2.37,122MB / 123MB,280MB / 1.17GB,54
1ec32aa56724,r_agent,1.12,140MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.02,22.85MiB / 31.09GiB,0.07,597kB / 826kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.23,21.85MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.29,21.05MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.29,21.49MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.59MiB / 31.09GiB,0.07,218kB / 372kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.0,22.45MiB / 31.09GiB,0.07,475MB / 466MB,0B / 0B,15
1d733de5658f,cn-agent,0.62,42.51MiB / 31.09GiB,0.13,23.6MB / 11.3MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.23,22.07MiB / 31.09GiB,0.07,624kB / 326kB,0B / 0B,7
88df3cf2f98e,mysql,0.63,406.1MiB / 31.09GiB,1.28,8.28MB / 21.1MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.66MiB / 31.09GiB,0.05,15.5kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,2.34,46.3MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,1
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,143.87,753.8MiB / 31.09GiB,2.37,122MB / 123MB,280MB / 1.17GB,54
1ec32aa56724,r_agent,0.82,140MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,1.64,22.85MiB / 31.09GiB,0.07,598kB / 827kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.23,21.85MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.21,20.94MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.21,21.5MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.47MiB / 31.09GiB,0.07,219kB / 373kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.0,22.48MiB / 31.09GiB,0.07,475MB / 466MB,0B / 0B,15
1d733de5658f,cn-agent,0.01,42.19MiB / 31.09GiB,0.13,23.6MB / 11.4MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.23,22.14MiB / 31.09GiB,0.07,625kB / 327kB,0B / 0B,7
88df3cf2f98e,mysql,0.14,406.1MiB / 31.09GiB,1.28,8.29MB / 21.1MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.66MiB / 31.09GiB,0.05,15.5kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,1.42,45.84MiB / 31.09GiB,0.14,0B / 0B,37.3MB / 0B,1
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,153.35,753.8MiB / 31.09GiB,2.37,122MB / 123MB,280MB / 1.17GB,54
1ec32aa56724,r_agent,0.9,140.1MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.02,22.85MiB / 31.09GiB,0.07,599kB / 829kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.17,21.85MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.2,20.94MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.2,21.5MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.41MiB / 31.09GiB,0.07,219kB / 373kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.01,22.48MiB / 31.09GiB,0.07,475MB / 466MB,0B / 0B,15
1d733de5658f,cn-agent,0.66,42.2MiB / 31.09GiB,0.13,23.7MB / 11.4MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.2,22.1MiB / 31.09GiB,0.07,625kB / 327kB,0B / 0B,7
88df3cf2f98e,mysql,0.71,406.1MiB / 31.09GiB,1.28,8.31MB / 21.2MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.66MiB / 31.09GiB,0.05,15.5kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,2.5,46.48MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,3
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.4kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,149.31,753.8MiB / 31.09GiB,2.37,123MB / 124MB,280MB / 1.18GB,54
1ec32aa56724,r_agent,0.54,140.1MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.0,22.8MiB / 31.09GiB,0.07,600kB / 830kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.19,21.86MiB / 31.09GiB,0.07,69.3kB / 32.5kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.22,20.98MiB / 31.09GiB,0.07,23kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.2,21.51MiB / 31.09GiB,0.07,27.3kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.42MiB / 31.09GiB,0.07,219kB / 374kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.0,22.48MiB / 31.09GiB,0.07,475MB / 466MB,0B / 0B,15
1d733de5658f,cn-agent,0.29,42.2MiB / 31.09GiB,0.13,23.7MB / 11.4MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.23,22.1MiB / 31.09GiB,0.07,627kB / 328kB,0B / 0B,7
